dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-05,1,5,2020,244.0,17.0,Portugal,PT,PRT,10295909,Europe
2020-01-05,1,5,2020,918.0,48.0,Germany,DE,DEU,83166711,Europe
2020-01-05,1,5,2020,237.0,94.0,Belgium,BE,BEL,11522440,Europe
2020-01-05,1,5,2020,0.0,0.0,Liechtenstein,LI,LIE,38747,Europe
2020-01-05,1,5,2020,88.0,11.0,Hungary,HU,HUN,9769526,Europe
2020-01-05,1,5,2020,478.0,100.0,Netherlands,NL,NLD,17407585,Europe
2020-01-05,1,5,2020,4.0,1.0,Lithuania,LT,LTU,2794090,Europe
2020-01-05,1,5,2020,4.0,1.0,Slovakia,SK,SVK,5457873,Europe
2020-01-05,1,5,2020,57.0,8.0,Czechia,CZ,CZE,10693939,Europe
2020-01-05,1,5,2020,37.0,4.0,Austria,AT,AUT,8901064,Europe
2020-01-05,1,5,2020,7.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-05,1,5,2020,48.0,2.0,Finland,FI,FIN,5525292,Europe
2020-01-05,1,5,2020,1965.0,269.0,Italy,IT,ITA,59641488,Europe
2020-01-05,1,5,2020,327.0,27.0,Romania,RO,ROU,19328838,Europe
2020-01-05,1,5,2020,717.0,176.0,Spain,ES,ESP,47332614,Europe
2020-01-05,1,5,2020,12.0,0.0,Latvia,LV,LVA,1907675,Europe
2020-01-05,1,5,2020,47.0,3.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-05,1,5,2020,21.0,0.0,Greece,EL,GRC,10718565,Europe
2020-01-05,1,5,2020,5.0,0.0,Estonia,EE,EST,1328976,Europe
2020-01-05,1,5,2020,43.0,2.0,Norway,NO,NOR,5367580,Europe
2020-01-05,1,5,2020,532.0,78.0,Sweden,SE,SWE,10327589,Europe
2020-01-06,1,6,2020,30.0,3.0,Denmark,DK,DNK,5822763,Europe
2020-01-06,1,6,2020,34.0,2.0,Czechia,CZ,CZE,10693939,Europe
